Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
shop ugg tasman slipper,Transactional,40500,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,1.00,0.00",48,0.26,1.00,"Reviews, Image, Image pack, Video, Local pack, Related searches, Popular products",3030000
ugg tasman slipper,Transactional,33100,"0.16,0.04,0.29,0.10,0.10,0.10,0.54,1.00,0.24,0.66,0.54,0.81",44,0.31,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",2490000
tasman slipper ugg,Transactional,14800,"0.37,0.44,0.81,0.54,0.54,0.54,0.54,0.81,1.00,0.81,0.81,0.44",38,0.31,1.00,"Reviews, Image, Video, Related searches, Popular products",3090000
ugg womens tasman slipper,Transactional,8100,"0.24,0.19,0.00,0.00,0.00,0.00,0.00,0.08,0.24,1.00,0.81,0.44",38,0.54,1.00,"Reviews, Image, Video, Related searches, Popular products",2150000
ugg women's tasman slipper,Transactional,5400,"0.44,0.54,0.00,0.00,0.04,0.00,0.04,0.09,0.24,1.00,0.81,0.06",36,0.45,1.00,"Reviews, Image, Video, Related searches, Popular products",1810000
ugg mens tasman slipper,Transactional,3600,"0.24,0.10,0.05,0.05,0.06,0.08,0.08,0.08,0.54,0.36,1.00,0.44",40,0.49,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",3010000
ugg tasman slipper chestnut,"Informational, Transactional",3600,"0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.19,0.24,1.00,0.36",38,0.38,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches",1420000
ugg tasman slipper black,"Informational, Transactional",2900,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.13",44,0.38,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",4180000
ugg men's tasman slipper,"Informational, Transactional",1900,"1.00,0.67,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.67,0.10",27,0.49,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",1410000
ugg tasman slipper mustard seed,"Informational, Commercial",1600,"0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,1.00,0.08,0.44,0.19",25,0.37,1.00,"Reviews, Image, Video, People also ask, Related searches, Related products",86
ugg tasman slipper women,Transactional,1600,"0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00,0.29,0.01",36,0.45,1.00,"Reviews, Image, Video, Related searches, Popular products, Shopping ads",2690000
ugg tasman ii kids slipper,"Informational, Transactional",1000,"0.00,0.54,1.00,0.20",24,0.00,0.00,"Reviews, Image, Video, Related searches, Popular products",916000
ugg tasman slipper men,"Informational, Transactional",1000,"0.24,0.20,0.27,0.20,0.16,0.24,0.20,0.24,0.27,0.24,1.00,0.16",48,0.49,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",2770000
ugg tasman slipper women's,Transactional,1000,"1.00,1.00,0.54,0.30,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.00",35,0.45,1.00,"Reviews, Image, Video, Related searches, Popular products",2740000
tasman ugg slipper,Transactional,880,"0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.19,1.00,0.08",31,0.28,1.00,"Reviews, Image, Video, Related searches, Popular products",3920000
