类别：所有类别

区域,20 inch squishmallow: (2023/4/18 - 2024/4/18)
North Dakota,100
New Hampshire,52
Nebraska,43
Indiana,30
Kentucky,30
Missouri,26
Ohio,26
Wisconsin,26
Pennsylvania,26
Massachusetts,26
North Carolina,26
California,26
Nevada,26
Arizona,26
Michigan,26
Florida,21
Virginia,21
Washington,21
Texas,21
Illinois,21
Colorado,21
Minnesota,21
Utah,21
New Jersey,21
Tennessee,21
New York,17
Oregon,17
South Carolina,17
Georgia,17
Maryland,13
Alabama,13
Iowa,<1
Alaska,
New Mexico,
Montana,
Mississippi,
Oklahoma,
Maine,
Louisiana,
Rhode Island,
Kansas,
South Dakota,
Idaho,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Connecticut,
Arkansas,
West Virginia,
Wyoming,
