类别：所有类别

区域,24 inch squishmallows: (2023/4/18 - 2024/4/18)
Iowa,100
Kansas,77
Pennsylvania,44
Kentucky,44
Ohio,44
New Jersey,44
Arizona,44
Colorado,44
Minnesota,33
Illinois,33
Michigan,33
Virginia,33
Wisconsin,33
Oregon,33
North Carolina,33
Missouri,33
Florida,33
Georgia,33
Massachusetts,33
New York,22
Texas,22
Maryland,22
Indiana,22
California,22
Washington,22
Alaska,
Wyoming,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
Maine,
New Mexico,
Nevada,
Louisiana,
Idaho,
Oklahoma,
Hawaii,
Delaware,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
District of Columbia,
Utah,
Connecticut,
Vermont,
Arkansas,
Alabama,
West Virginia,
Montana,
