类别：所有类别

区域,avery squishmallow: (2023/4/18 - 2024/4/18)
Ohio,100
Oregon,80
Connecticut,80
Maryland,60
Colorado,60
Missouri,60
Michigan,60
North Carolina,60
Minnesota,40
Pennsylvania,40
Illinois,40
New Jersey,40
Texas,40
Washington,40
California,40
Virginia,40
New York,20
Georgia,20
Florida,20
Delaware,<1
Arkansas,<1
Kentucky,<1
Alaska,
Wyoming,
Massachusetts,
Mississippi,
Montana,
Louisiana,
North Dakota,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Nevada,
Indiana,
Idaho,
Oklahoma,
Iowa,
Hawaii,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
District of Columbia,
Utah,
Arizona,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Maine,
