类别：所有类别

区域,avocado squishmallow: (2023/4/18 - 2024/4/18)
Wisconsin,100
Connecticut,66
Ohio,50
Arizona,33
Colorado,33
California,33
Pennsylvania,33
Illinois,33
New Jersey,33
Michigan,33
Washington,33
North Carolina,33
Texas,33
New York,33
Georgia,16
Florida,16
Virginia,16
Utah,<1
Alaska,
Wyoming,
Maryland,
Maine,
Louisiana,
Minnesota,
Missouri,
Mississippi,
Montana,
Kentucky,
North Dakota,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Nevada,
Indiana,
Idaho,
Oklahoma,
Oregon,
Iowa,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Massachusetts,
