类别：所有类别

区域,benny squishmallow: (2023/4/18 - 2024/4/18)
Nevada,100
Tennessee,100
Ohio,75
Illinois,75
Wisconsin,75
Massachusetts,75
Indiana,75
Arizona,50
Colorado,50
Michigan,50
Pennsylvania,50
Washington,50
New York,25
Virginia,25
New Jersey,25
California,25
North Carolina,25
Texas,25
Georgia,25
Florida,25
Oregon,<1
Alaska,
Wyoming,
Minnesota,
Missouri,
Mississippi,
Montana,
Maryland,
North Dakota,
Nebraska,
New Hampshire,
Louisiana,
New Mexico,
Kentucky,
Kansas,
Idaho,
Oklahoma,
Iowa,
Hawaii,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
District of Columbia,
Utah,
Connecticut,
Vermont,
Arkansas,
Alabama,
West Virginia,
Maine,
