类别：所有类别

区域,big squishmallow: (2023/4/18 - 2024/4/18)
Iowa,100
Utah,100
Indiana,92
Illinois,92
Nebraska,84
Minnesota,84
Ohio,76
Michigan,76
Colorado,76
North Carolina,76
Oregon,76
Oklahoma,69
Pennsylvania,69
Kentucky,69
Missouri,69
Arizona,69
Washington,69
Wisconsin,69
California,69
Connecticut,69
Texas,61
Georgia,61
Florida,61
Tennessee,61
Arkansas,53
Kansas,53
Massachusetts,53
New Jersey,53
South Carolina,53
Virginia,53
New York,46
Maryland,46
Alabama,46
Nevada,38
Louisiana,38
West Virginia,<1
New Mexico,<1
Alaska,
New Hampshire,
Rhode Island,
North Dakota,
South Dakota,
Montana,
Mississippi,
Maine,
Idaho,
Vermont,
Hawaii,
Delaware,
District of Columbia,
Wyoming,
