类别：所有类别

区域,big squishmallows: (2023/4/18 - 2024/4/18)
Arkansas,100
Mississippi,100
Iowa,90
Missouri,70
Wisconsin,70
Indiana,70
Minnesota,70
Ohio,70
Illinois,70
Georgia,60
Pennsylvania,60
Kentucky,60
Maryland,60
Texas,60
Kansas,60
Arizona,50
Colorado,50
Connecticut,50
New Jersey,50
North Carolina,50
South Carolina,50
Michigan,50
Oregon,50
California,50
Oklahoma,40
Alabama,40
Florida,40
Massachusetts,40
New York,40
Virginia,40
Tennessee,30
Washington,30
Alaska,
Nevada,
New Mexico,
New Hampshire,
Nebraska,
North Dakota,
Montana,
Rhode Island,
Maine,
South Dakota,
Louisiana,
Idaho,
Utah,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
