类别：所有类别

区域,biggest squishmallow: (2023/4/18 - 2024/4/18)
Kentucky,100
Wisconsin,100
Connecticut,85
Oregon,71
Colorado,71
Minnesota,71
Oklahoma,71
Ohio,71
Indiana,57
Pennsylvania,57
Michigan,57
Missouri,57
Arizona,57
Tennessee,57
Illinois,57
South Carolina,42
Massachusetts,42
Washington,42
New Jersey,42
Florida,42
North Carolina,42
Texas,42
California,28
Virginia,28
New York,28
Maryland,28
Georgia,28
Alaska,
North Dakota,
Nebraska,
New Hampshire,
Montana,
New Mexico,
Nevada,
Mississippi,
Maine,
Louisiana,
Kansas,
Idaho,
Rhode Island,
Iowa,
South Dakota,
Hawaii,
Delaware,
Utah,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
