类别：所有类别

区域,bluey squishmallow: (2023/4/18 - 2024/4/18)
Kentucky,100
Indiana,100
Utah,75
Ohio,62
Wisconsin,62
Pennsylvania,62
Illinois,62
Colorado,50
Michigan,50
Minnesota,50
Washington,50
Tennessee,50
Texas,37
Missouri,37
South Carolina,37
Alabama,37
Arizona,37
Massachusetts,37
North Carolina,37
New Jersey,37
California,37
Maryland,37
Virginia,25
Georgia,25
Florida,25
New York,12
Montana,<1
Alaska,
North Dakota,
Nebraska,
New Hampshire,
Mississippi,
New Mexico,
Nevada,
Maine,
Louisiana,
Oklahoma,
Oregon,
Kansas,
Rhode Island,
Idaho,
South Dakota,
Iowa,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Connecticut,
Arkansas,
West Virginia,
Wyoming,
