类别：所有类别

区域,boba squishmallow: (2023/4/18 - 2024/4/18)
California,100
Kentucky,100
North Carolina,80
Illinois,80
Wisconsin,80
Washington,80
Colorado,60
Minnesota,60
Arizona,60
Texas,60
Florida,60
Indiana,60
Ohio,60
Tennessee,60
Missouri,40
Georgia,40
Virginia,40
Pennsylvania,40
Michigan,40
Maryland,40
New York,40
Massachusetts,40
New Jersey,<1
Oregon,<1
Alaska,
Wyoming,
Montana,
Maine,
North Dakota,
Nebraska,
New Hampshire,
Louisiana,
New Mexico,
Nevada,
Kansas,
Idaho,
Oklahoma,
Iowa,
Hawaii,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
District of Columbia,
Utah,
Connecticut,
Vermont,
Arkansas,
Alabama,
West Virginia,
Mississippi,
