类别：所有类别

区域,cinnamoroll squishmallow: (2023/4/18 - 2024/4/18)
Nevada,100
California,50
South Carolina,50
Washington,50
Arizona,50
Tennessee,33
Texas,33
New Jersey,33
North Carolina,33
Florida,33
Michigan,33
Maryland,33
Illinois,16
Pennsylvania,16
Georgia,16
New York,16
Connecticut,<1
Wisconsin,<1
Massachusetts,<1
Ohio,<1
Alaska,
Wyoming,
Louisiana,
Minnesota,
Missouri,
Mississippi,
Montana,
Kentucky,
North Dakota,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Indiana,
Idaho,
Iowa,
Oklahoma,
Oregon,
Hawaii,
Rhode Island,
Delaware,
South Dakota,
District of Columbia,
Colorado,
Utah,
Virginia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Maine,
