类别：所有类别

区域,costco squishmallow: (2023/4/18 - 2024/4/18)
Utah,100
Idaho,95
Hawaii,86
California,82
Minnesota,82
Oregon,82
Nebraska,82
Wisconsin,73
Washington,73
Illinois,60
Arizona,60
Ohio,56
Virginia,52
New Mexico,52
Michigan,52
Indiana,52
Colorado,47
Connecticut,47
Pennsylvania,43
Missouri,39
Kansas,39
Texas,39
Maryland,39
New Jersey,39
Nevada,34
Tennessee,34
Iowa,30
Kentucky,30
Massachusetts,30
South Carolina,30
Florida,30
North Carolina,30
New York,26
Oklahoma,26
Georgia,21
Louisiana,17
Alaska,
New Hampshire,
North Dakota,
Rhode Island,
Montana,
South Dakota,
Mississippi,
Maine,
Delaware,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
