类别：所有类别

区域,cow squishmallows: (2023/4/18 - 2024/4/18)
Arkansas,100
Utah,90
Iowa,80
Wisconsin,70
Nevada,70
Mississippi,70
Kansas,70
Indiana,60
Washington,60
Ohio,50
Tennessee,50
Arizona,50
Illinois,50
California,40
Virginia,40
Texas,40
Colorado,40
Michigan,40
Maryland,40
Pennsylvania,40
Missouri,40
North Carolina,40
Massachusetts,30
New Jersey,30
Alabama,30
Minnesota,30
Georgia,30
New York,20
Florida,20
Kentucky,<1
Connecticut,<1
Alaska,
New Mexico,
New Hampshire,
Nebraska,
North Dakota,
Oklahoma,
Oregon,
Montana,
Rhode Island,
South Carolina,
South Dakota,
Maine,
Louisiana,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
