类别：所有类别

区域,dinosaur squishmallow: (2023/4/18 - 2024/4/18)
Kentucky,100
Utah,100
Indiana,85
Arkansas,85
Wisconsin,85
Ohio,85
Missouri,85
Iowa,85
Michigan,85
Pennsylvania,71
Illinois,71
Tennessee,71
Minnesota,57
Louisiana,57
Colorado,57
Nevada,57
Massachusetts,57
Texas,57
Alabama,57
California,57
Washington,57
North Carolina,57
Florida,42
Arizona,42
Virginia,42
Maryland,42
New York,28
New Jersey,28
Georgia,28
Alaska,
New Hampshire,
Nebraska,
New Mexico,
North Dakota,
Montana,
Mississippi,
Oklahoma,
Oregon,
Maine,
Rhode Island,
South Carolina,
South Dakota,
Kansas,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Connecticut,
West Virginia,
Wyoming,
