类别：所有类别

区域,duck squishmallow: (2023/4/18 - 2024/4/18)
Oregon,100
Michigan,71
Colorado,71
Ohio,71
Minnesota,57
Washington,57
Indiana,57
North Carolina,42
Missouri,42
Massachusetts,42
Illinois,42
Texas,42
Wisconsin,42
Pennsylvania,42
Maryland,42
Arizona,28
Virginia,28
Tennessee,28
Florida,28
California,28
Georgia,28
New York,28
Utah,<1
New Jersey,<1
Alaska,
Wyoming,
Montana,
Maine,
North Dakota,
Nebraska,
New Hampshire,
Louisiana,
New Mexico,
Nevada,
Kentucky,
Kansas,
Oklahoma,
Idaho,
Iowa,
Rhode Island,
South Carolina,
South Dakota,
Hawaii,
Delaware,
District of Columbia,
Connecticut,
Vermont,
Arkansas,
Alabama,
West Virginia,
Mississippi,
