类别：所有类别

区域,food squishmallows: (2023/4/18 - 2024/4/18)
Illinois,100
Massachusetts,100
Minnesota,100
South Carolina,100
Maryland,100
Michigan,100
Indiana,66
Tennessee,66
California,66
Ohio,66
Texas,66
Arizona,66
Washington,66
Georgia,66
Pennsylvania,66
New Jersey,33
New York,33
Florida,33
Virginia,<1
Alaska,
Wyoming,
Maine,
Kentucky,
Kansas,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Idaho,
New Mexico,
Nevada,
Iowa,
Hawaii,
Oklahoma,
Oregon,
Delaware,
Rhode Island,
District of Columbia,
South Dakota,
Connecticut,
Colorado,
Utah,
Arkansas,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Louisiana,
