类别：所有类别

区域,frog squishmallow: (2023/4/18 - 2024/4/18)
Kentucky,100
Maine,100
Minnesota,76
Arkansas,76
Wisconsin,61
Connecticut,61
Utah,61
Michigan,61
Oklahoma,61
Indiana,53
Iowa,53
South Carolina,53
New Jersey,53
Washington,53
Tennessee,53
Oregon,46
Pennsylvania,46
Illinois,46
Ohio,46
Alabama,46
Arizona,38
North Carolina,38
Texas,38
California,38
Maryland,38
Missouri,38
Colorado,38
Florida,38
Nevada,38
Virginia,38
New York,30
Massachusetts,23
Georgia,23
Nebraska,<1
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Rhode Island,
Mississippi,
South Dakota,
Louisiana,
Kansas,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
