类别：所有类别

区域,giant squishmallow: (2023/4/18 - 2024/4/18)
Utah,100
Minnesota,90
Michigan,90
Washington,81
Ohio,81
Kentucky,81
Oregon,81
Missouri,81
Pennsylvania,81
Wisconsin,72
Nebraska,72
Kansas,72
Illinois,72
Indiana,72
Nevada,72
Iowa,63
Alabama,63
Colorado,63
Tennessee,63
Virginia,63
Louisiana,54
Arizona,54
Georgia,54
Maryland,54
South Carolina,54
California,54
Texas,54
Connecticut,54
New Jersey,45
Oklahoma,45
North Carolina,45
Florida,45
Massachusetts,45
New York,45
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Rhode Island,
Mississippi,
South Dakota,
Maine,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
