类别：所有类别

区域,godzilla squishmallow: (2023/4/18 - 2024/4/18)
Wisconsin,100
Indiana,100
Tennessee,66
Washington,66
North Carolina,33
Pennsylvania,33
Texas,33
Michigan,33
Illinois,33
California,33
Florida,33
New York,<1
Minnesota,<1
Arizona,<1
Virginia,<1
Alaska,
Wyoming,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Idaho,
Iowa,
Missouri,
Mississippi,
Montana,
Hawaii,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Georgia,
Ohio,
Oklahoma,
Oregon,
Delaware,
Rhode Island,
South Carolina,
South Dakota,
District of Columbia,
Connecticut,
Utah,
Colorado,
Vermont,
Arkansas,
Alabama,
West Virginia,
Kansas,
