类别：所有类别

区域,h: (2023/4/18 - 2024/4/18)
District of Columbia,100
Utah,61
New Mexico,57
Maryland,54
California,53
Texas,51
Nebraska,51
Alabama,50
Arizona,50
Massachusetts,48
New Hampshire,48
South Carolina,48
New Jersey,48
West Virginia,48
Illinois,47
Connecticut,47
Hawaii,47
Oklahoma,47
Indiana,47
Louisiana,46
New York,46
Colorado,46
North Carolina,46
Kentucky,46
Washington,46
Missouri,46
Wisconsin,46
Georgia,45
Pennsylvania,45
Oregon,45
Virginia,45
Michigan,45
Tennessee,45
Kansas,45
Iowa,44
Arkansas,44
Rhode Island,44
Delaware,44
Nevada,44
Idaho,44
Minnesota,44
Montana,43
Mississippi,43
North Dakota,42
Florida,42
Ohio,42
Maine,41
South Dakota,41
Vermont,41
Wyoming,39
Alaska,36
