类别：所有类别

周,h: (美国)
2023-04-16,92
2023-04-23,81
2023-04-30,84
2023-05-07,84
2023-05-14,82
2023-05-21,81
2023-05-28,77
2023-06-04,80
2023-06-11,79
2023-06-18,79
2023-06-25,78
2023-07-02,76
2023-07-09,83
2023-07-16,82
2023-07-23,81
2023-07-30,77
2023-08-06,75
2023-08-13,78
2023-08-20,80
2023-08-27,79
2023-09-03,80
2023-09-10,82
2023-09-17,81
2023-09-24,82
2023-10-01,80
2023-10-08,84
2023-10-15,82
2023-10-22,79
2023-10-29,83
2023-11-05,81
2023-11-12,84
2023-11-19,85
2023-11-26,84
2023-12-03,76
2023-12-10,82
2023-12-17,73
2023-12-24,75
2023-12-31,77
2024-01-07,77
2024-01-14,78
2024-01-21,88
2024-01-28,94
2024-02-04,100
2024-02-11,93
2024-02-18,94
2024-02-25,90
2024-03-03,94
2024-03-10,95
2024-03-17,94
2024-03-24,92
2024-03-31,90
2024-04-07,97
2024-04-14,100
