类别：所有类别

区域,halloween squishmallows 2023: (2023/4/18 - 2024/4/18)
Rhode Island,100
Kentucky,35
Ohio,28
Minnesota,28
Indiana,28
Michigan,21
Illinois,21
Pennsylvania,21
Arizona,21
Virginia,21
North Carolina,21
Tennessee,21
New Jersey,14
Colorado,14
Florida,14
Washington,14
Texas,14
Georgia,14
California,14
New York,14
Alaska,
Wyoming,
Maryland,
Massachusetts,
Missouri,
Mississippi,
Montana,
Louisiana,
North Dakota,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Nevada,
Idaho,
Iowa,
Oklahoma,
Oregon,
Hawaii,
Delaware,
South Carolina,
South Dakota,
District of Columbia,
Connecticut,
Utah,
Arkansas,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Maine,
