类别：所有类别

区域,happy meal squishmallows: (2023/4/18 - 2024/4/18)
Nebraska,100
Kansas,100
New Mexico,100
Kentucky,88
Indiana,88
Illinois,66
Oregon,66
Ohio,66
Minnesota,66
South Carolina,66
Wisconsin,66
Washington,55
Oklahoma,55
Utah,55
Michigan,55
Connecticut,44
California,44
Arizona,44
Alabama,44
Florida,44
Tennessee,44
Pennsylvania,44
North Carolina,44
Texas,44
Georgia,44
Maryland,33
Massachusetts,33
New Jersey,22
Virginia,22
New York,22
Arkansas,<1
Alaska,
New Hampshire,
Nevada,
North Dakota,
Montana,
Mississippi,
Missouri,
Maine,
Rhode Island,
Louisiana,
South Dakota,
Idaho,
Iowa,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Colorado,
West Virginia,
Wyoming,
