类别：所有类别

区域,hufflepuff squishmallow: (2023/4/18 - 2024/4/18)
Tennessee,100
North Carolina,66
Arizona,66
Ohio,33
Illinois,33
Texas,33
Florida,33
Pennsylvania,33
California,33
New York,<1
Alaska,
Wyoming,
Iowa,
Idaho,
Georgia,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
Delaware,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
District of Columbia,
Connecticut,
Oklahoma,
Oregon,
Colorado,
Rhode Island,
South Carolina,
South Dakota,
Arkansas,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Hawaii,
