类别：所有类别

区域,junie squishmallow: (2023/4/18 - 2024/4/18)
Mississippi,100
Oklahoma,60
California,10
Pennsylvania,10
Illinois,10
North Carolina,10
New York,10
Florida,10
Texas,<1
Massachusetts,<1
Alaska,
Wyoming,
Iowa,
Idaho,
Georgia,
Indiana,
Kansas,
Kentucky,
Louisiana,
Delaware,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
District of Columbia,
Montana,
Connecticut,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Colorado,
Ohio,
Arizona,
Oregon,
Arkansas,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Hawaii,
