类别：所有类别

区域,kuromi squishmallow: (2023/4/18 - 2024/4/18)
California,100
Maryland,75
Texas,75
Arizona,50
Virginia,50
Florida,50
Michigan,50
Washington,50
Ohio,50
Georgia,25
New York,25
New Jersey,25
Pennsylvania,25
Alaska,
Wyoming,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Idaho,
Maine,
Iowa,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Hawaii,
New Mexico,
Nevada,
Delaware,
District of Columbia,
Oklahoma,
Oregon,
Connecticut,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Colorado,
Utah,
Arkansas,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Illinois,
