类别：所有类别

区域,mcdonald's squishmallow happy meal: (2023/4/18 - 2024/4/18)
Hawaii,100
Arizona,42
Ohio,42
Kansas,35
Kentucky,35
Michigan,35
Pennsylvania,35
Utah,35
Minnesota,35
Illinois,28
California,28
Indiana,28
Wisconsin,28
Connecticut,28
Washington,28
New Jersey,21
Oregon,21
North Carolina,21
Texas,21
Virginia,21
Colorado,21
Florida,21
South Carolina,21
New York,21
Tennessee,14
Maryland,14
Georgia,14
Massachusetts,14
Alaska,
Nebraska,
New Hampshire,
North Dakota,
New Mexico,
Nevada,
Montana,
Mississippi,
Oklahoma,
Missouri,
Maine,
Rhode Island,
Louisiana,
South Dakota,
Idaho,
Iowa,
Delaware,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
