类别：所有类别

区域,mcdonald's squishmallows: (2023/4/18 - 2024/4/18)
Hawaii,100
Wisconsin,100
Kentucky,100
Maine,94
Ohio,94
Illinois,94
West Virginia,88
Michigan,88
Utah,82
Indiana,82
Pennsylvania,76
New Mexico,76
Missouri,76
Iowa,76
Nevada,70
Kansas,70
Minnesota,70
Nebraska,64
Oklahoma,64
Oregon,64
Arkansas,58
South Carolina,58
Colorado,58
Maryland,58
Tennessee,58
Arizona,58
Texas,58
North Carolina,58
Idaho,52
Virginia,52
Connecticut,52
California,47
Alabama,47
Florida,47
Washington,47
New Jersey,41
Massachusetts,41
Georgia,35
New York,35
Louisiana,35
Alaska,
South Dakota,
Rhode Island,
New Hampshire,
North Dakota,
Montana,
Vermont,
Mississippi,
Delaware,
District of Columbia,
Wyoming,
