类别：所有类别

区域,mcdonalds squishmallow: (2023/4/18 - 2024/4/18)
Kansas,100
Kentucky,100
Utah,85
Illinois,85
Ohio,85
Minnesota,85
Michigan,71
Oregon,71
Oklahoma,71
Arizona,71
Alabama,71
Wisconsin,71
Massachusetts,57
New Jersey,57
Missouri,57
Indiana,57
California,57
Maryland,57
Washington,57
Connecticut,57
Pennsylvania,57
Virginia,57
Colorado,57
Tennessee,57
Florida,57
North Carolina,57
Texas,42
New York,28
Georgia,28
Alaska,
New Hampshire,
Nebraska,
New Mexico,
Nevada,
North Dakota,
Montana,
Mississippi,
Maine,
Louisiana,
Rhode Island,
South Carolina,
South Dakota,
Idaho,
Iowa,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
