类别：所有类别

区域,mcdonalds squishmallows: (2023/4/18 - 2024/4/18)
Hawaii,100
Ohio,69
Utah,69
Minnesota,69
Nebraska,69
Indiana,69
Oklahoma,69
Wisconsin,61
Kentucky,61
Pennsylvania,61
Colorado,53
Illinois,53
Kansas,53
Virginia,53
Maryland,53
Arizona,53
North Carolina,46
New Jersey,46
Michigan,46
Oregon,46
Iowa,46
California,46
South Carolina,46
Washington,46
Tennessee,46
Louisiana,46
Missouri,38
Massachusetts,38
Connecticut,38
Nevada,38
Florida,38
Alabama,38
Georgia,38
Texas,38
New York,30
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Rhode Island,
Montana,
South Dakota,
Mississippi,
Maine,
Idaho,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
