类别：所有类别

区域,mini squishmallows: (2023/4/18 - 2024/4/18)
Utah,100
Oklahoma,71
Kansas,57
Ohio,50
Michigan,50
Connecticut,50
Iowa,50
Arkansas,50
California,50
New Jersey,42
Arizona,42
Illinois,42
Pennsylvania,42
Tennessee,42
Oregon,42
Minnesota,35
Texas,35
South Carolina,35
Kentucky,35
Indiana,35
Washington,35
Nevada,35
Missouri,28
New York,28
Virginia,28
Massachusetts,28
North Carolina,28
Colorado,28
Georgia,28
Florida,21
Wisconsin,21
Maryland,21
New Mexico,<1
Alaska,
New Hampshire,
Nebraska,
North Dakota,
Montana,
Mississippi,
Rhode Island,
Maine,
South Dakota,
Louisiana,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Alabama,
West Virginia,
Wyoming,
