类别：所有类别

区域,monkey squishmallow: (2023/4/18 - 2024/4/18)
Tennessee,100
Colorado,100
Ohio,100
Illinois,100
Pennsylvania,100
California,100
Michigan,50
Georgia,50
North Carolina,50
Massachusetts,50
Texas,50
Florida,50
New York,50
Wisconsin,<1
New Jersey,<1
Alaska,
Wyoming,
Kentucky,
Louisiana,
Indiana,
Maryland,
Maine,
Idaho,
Minnesota,
Missouri,
Mississippi,
Montana,
Iowa,
North Dakota,
Nebraska,
New Hampshire,
Hawaii,
New Mexico,
Nevada,
Delaware,
District of Columbia,
Oklahoma,
Oregon,
Connecticut,
Rhode Island,
South Carolina,
South Dakota,
Arizona,
Arkansas,
Utah,
Virginia,
Vermont,
Washington,
Alabama,
West Virginia,
Kansas,
