类别：所有类别

区域,mothman squishmallow: (2023/4/18 - 2024/4/18)
Idaho,100
Kentucky,33
Ohio,8
Pennsylvania,8
California,<1
Texas,<1
Alaska,
Wyoming,
Delaware,
Florida,
Georgia,
Hawaii,
Iowa,
Connecticut,
Illinois,
Indiana,
Kansas,
Colorado,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
New York,
Arizona,
Oklahoma,
Oregon,
Arkansas,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
District of Columbia,
