类别：所有类别

区域,my melody squishmallow: (2023/4/18 - 2024/4/18)
Nevada,100
Wisconsin,60
California,60
Texas,40
Arizona,40
North Carolina,40
Illinois,20
Ohio,20
Georgia,20
Florida,20
New York,<1
Virginia,<1
Alaska,
Wyoming,
Iowa,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
Hawaii,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Delaware,
District of Columbia,
Connecticut,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Colorado,
Utah,
Arkansas,
Vermont,
Washington,
Alabama,
West Virginia,
Idaho,
