类别：所有类别

区域,pikachu squishmallow: (2023/4/18 - 2024/4/18)
Minnesota,100
Iowa,90
Michigan,90
Arizona,90
Missouri,90
Nebraska,80
Texas,80
Kentucky,80
Oklahoma,80
Illinois,80
California,80
Indiana,80
Wisconsin,80
Ohio,70
Colorado,70
New Jersey,70
Pennsylvania,60
Washington,60
Tennessee,60
Maryland,60
Connecticut,60
Kansas,60
Virginia,60
Georgia,60
North Carolina,60
Florida,60
Nevada,60
New York,50
Utah,50
Alabama,50
Massachusetts,50
Oregon,40
South Carolina,30
Louisiana,30
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Rhode Island,
Mississippi,
South Dakota,
Maine,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
