类别：所有类别

区域,pink squishmallow: (2023/4/18 - 2024/4/18)
South Dakota,100
Wisconsin,62
West Virginia,58
Maine,55
Indiana,55
Oregon,51
Minnesota,51
Ohio,48
Iowa,48
Washington,48
Alabama,48
Kentucky,48
Illinois,48
Arkansas,48
Colorado,44
Oklahoma,44
Michigan,44
North Carolina,44
Connecticut,44
Pennsylvania,44
California,44
Arizona,44
South Carolina,44
Massachusetts,44
Utah,41
Kansas,41
Maryland,41
Georgia,41
Mississippi,41
Texas,41
Nevada,41
Hawaii,41
Missouri,37
New Jersey,37
Tennessee,37
Idaho,37
Virginia,37
Florida,34
Nebraska,34
New Mexico,31
New York,27
Louisiana,24
Alaska,
Rhode Island,
New Hampshire,
North Dakota,
Vermont,
Montana,
Delaware,
District of Columbia,
Wyoming,
