类别：所有类别

区域,plague doctor squishmallow: (2023/4/18 - 2024/4/18)
Missouri,100
Maryland,66
Ohio,66
North Carolina,66
Washington,33
Pennsylvania,33
Illinois,33
Florida,33
California,33
Texas,33
New York,<1
Alaska,
Wyoming,
Idaho,
Hawaii,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Georgia,
Maine,
Michigan,
Minnesota,
Delaware,
Mississippi,
Montana,
District of Columbia,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Connecticut,
Colorado,
Oklahoma,
Oregon,
Arizona,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arkansas,
Utah,
Virginia,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Iowa,
