类别：所有类别

区域,rare squishmallows: (2023/4/18 - 2024/4/18)
North Carolina,100
Wisconsin,100
Kansas,100
Colorado,85
Indiana,85
Tennessee,71
Kentucky,71
Arizona,71
Utah,71
Missouri,71
Michigan,71
Pennsylvania,71
Ohio,71
Georgia,57
Alabama,57
Oregon,57
Maryland,57
Virginia,57
New Jersey,57
Washington,57
Illinois,57
Florida,42
Minnesota,42
Texas,42
South Carolina,42
New York,42
California,42
Massachusetts,42
New Hampshire,<1
Oklahoma,<1
Connecticut,<1
Alaska,
New Mexico,
Nevada,
Nebraska,
North Dakota,
Montana,
Mississippi,
Maine,
Rhode Island,
Louisiana,
South Dakota,
Idaho,
Iowa,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
