类别：所有类别

区域,rarest squishmallow: (2023/4/18 - 2024/4/18)
Connecticut,100
Illinois,75
Wisconsin,75
Maryland,75
Colorado,75
New Jersey,75
North Carolina,50
Pennsylvania,50
Georgia,50
Washington,50
Ohio,50
Texas,50
California,50
Florida,25
New York,25
Virginia,<1
Alaska,
Wyoming,
Louisiana,
Massachusetts,
Kansas,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
Indiana,
North Dakota,
Nebraska,
New Hampshire,
Idaho,
New Mexico,
Nevada,
Iowa,
Hawaii,
Oklahoma,
Oregon,
Delaware,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
District of Columbia,
Utah,
Arizona,
Vermont,
Arkansas,
Alabama,
West Virginia,
Kentucky,
