类别：所有类别

区域,shop squishmallow: (2023/4/18 - 2024/4/18)
Michigan,100
Pennsylvania,100
Illinois,100
New Jersey,50
California,50
Florida,50
Texas,<1
Minnesota,<1
Massachusetts,<1
New York,<1
Alaska,
Wyoming,
Iowa,
Idaho,
Georgia,
Indiana,
Kansas,
Kentucky,
Louisiana,
Delaware,
Maryland,
Maine,
District of Columbia,
Connecticut,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Colorado,
New Mexico,
Nevada,
Arizona,
Ohio,
Oklahoma,
Oregon,
Arkansas,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Hawaii,
