类别：所有类别

区域,snoopy squishmallow: (2023/4/18 - 2024/4/18)
Arizona,100
Illinois,50
New Jersey,50
Texas,50
Massachusetts,50
California,50
Colorado,50
Pennsylvania,50
Ohio,50
Virginia,25
North Carolina,25
Florida,25
New York,25
Missouri,<1
Alaska,
Wyoming,
Kansas,
Kentucky,
Louisiana,
Idaho,
Maryland,
Maine,
Michigan,
Minnesota,
Iowa,
Mississippi,
Montana,
Hawaii,
North Dakota,
Nebraska,
New Hampshire,
Georgia,
New Mexico,
Nevada,
Delaware,
District of Columbia,
Oklahoma,
Oregon,
Connecticut,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arkansas,
Utah,
Alabama,
Vermont,
Washington,
Wisconsin,
West Virginia,
Indiana,
