类别：所有类别

区域,squishmallow backpack: (2023/4/18 - 2024/4/18)
Arizona,100
Indiana,80
Connecticut,80
Massachusetts,80
California,80
New Jersey,80
Texas,60
Colorado,60
Tennessee,60
Ohio,60
Minnesota,60
Virginia,60
Florida,60
Washington,40
Illinois,40
Georgia,40
Michigan,20
New York,20
Pennsylvania,20
Maryland,<1
North Carolina,<1
Alaska,
Wyoming,
Louisiana,
Missouri,
Mississippi,
Montana,
Kentucky,
North Dakota,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Nevada,
Idaho,
Iowa,
Oklahoma,
Oregon,
Hawaii,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
District of Columbia,
Utah,
Arkansas,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Maine,
