类别：所有类别

区域,squishmallow happy meal: (2023/4/18 - 2024/4/18)
Hawaii,100
Maine,66
West Virginia,63
Idaho,60
Kansas,53
Illinois,53
Nebraska,50
Minnesota,50
Ohio,50
Arizona,46
Pennsylvania,43
California,43
Michigan,43
Utah,43
Indiana,43
Oklahoma,40
Washington,40
Kentucky,40
Missouri,40
Iowa,40
Arkansas,40
Wisconsin,36
New Mexico,36
Alabama,33
North Carolina,33
Oregon,33
Colorado,33
Connecticut,30
Texas,30
Florida,30
Virginia,30
South Carolina,30
Nevada,30
Tennessee,30
Mississippi,30
Maryland,26
New Jersey,26
Massachusetts,26
New York,23
Georgia,23
Louisiana,13
Alaska,
South Dakota,
Rhode Island,
New Hampshire,
North Dakota,
Vermont,
Montana,
Delaware,
District of Columbia,
Wyoming,
