类别：所有类别

区域,squishmallow near me: (2023/4/18 - 2024/4/18)
Kansas,100
South Carolina,83
Idaho,83
Ohio,83
Utah,83
Michigan,75
Illinois,75
Kentucky,66
Pennsylvania,66
Indiana,66
Washington,66
Iowa,66
Wisconsin,58
Texas,58
North Carolina,58
Alabama,58
Florida,58
Minnesota,58
Maryland,58
Arizona,58
Virginia,58
Missouri,58
Colorado,50
Louisiana,50
Oregon,50
California,50
Nevada,50
Connecticut,50
New Jersey,41
Tennessee,41
Massachusetts,41
Georgia,41
New York,33
Nebraska,<1
Alaska,
New Mexico,
Oklahoma,
New Hampshire,
North Dakota,
Rhode Island,
Montana,
South Dakota,
Mississippi,
Maine,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
