类别：所有类别

区域,squishmallow pet bed: (2023/4/18 - 2024/4/18)
Alaska,100
West Virginia,45
Kentucky,41
Wisconsin,38
Indiana,35
Iowa,32
Michigan,32
Illinois,29
Washington,29
Colorado,29
Ohio,29
Nebraska,25
Arizona,25
Kansas,25
Nevada,25
Pennsylvania,25
South Carolina,22
Missouri,22
Tennessee,22
Texas,22
Florida,22
California,22
Oklahoma,22
Virginia,22
New Jersey,22
Minnesota,22
Massachusetts,19
Oregon,19
Maryland,19
North Carolina,19
Utah,19
Alabama,19
Georgia,16
Connecticut,16
New York,16
Mississippi,
New Mexico,
New Hampshire,
North Dakota,
Rhode Island,
Montana,
South Dakota,
Maine,
Louisiana,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
Arkansas,
Wyoming,
