类别：所有类别

区域,squishmallow pillow: (2023/4/18 - 2024/4/18)
Alaska,100
Nebraska,33
Wisconsin,26
Indiana,23
Colorado,23
Nevada,23
Ohio,20
Oregon,20
Pennsylvania,20
Tennessee,20
Arizona,20
Maryland,20
Connecticut,20
Kansas,20
Iowa,16
Michigan,16
Kentucky,16
Minnesota,16
Illinois,16
Oklahoma,16
North Carolina,16
Virginia,13
California,13
Massachusetts,13
Washington,13
Texas,13
Florida,13
New Jersey,13
South Carolina,13
Georgia,13
Missouri,13
New York,10
Alabama,<1
Louisiana,<1
Mississippi,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Rhode Island,
Maine,
South Dakota,
Idaho,
Hawaii,
Utah,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
