类别：所有类别

区域,squishmallow store: (2023/4/18 - 2024/4/18)
Utah,100
Pennsylvania,80
Massachusetts,80
Connecticut,80
Wisconsin,70
Ohio,70
Minnesota,60
Illinois,60
Iowa,50
New Jersey,50
California,50
Washington,50
Kentucky,50
Tennessee,50
Oregon,50
Michigan,50
Maryland,40
North Carolina,40
Virginia,40
Colorado,40
Indiana,40
Texas,40
Florida,40
Arizona,40
Missouri,40
South Carolina,40
New York,40
Alabama,30
Georgia,30
Alaska,
New Hampshire,
Nebraska,
New Mexico,
Nevada,
North Dakota,
Montana,
Oklahoma,
Mississippi,
Maine,
Rhode Island,
Louisiana,
South Dakota,
Kansas,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
