类别：所有类别

区域,squishmallows cow: (2023/4/18 - 2024/4/18)
Iowa,100
Utah,90
Arizona,60
Ohio,60
Wisconsin,60
Indiana,60
Kansas,50
Louisiana,50
Michigan,50
New Jersey,50
Nevada,50
Oregon,50
Tennessee,50
Alabama,40
Illinois,40
Texas,40
California,40
Colorado,40
Virginia,40
Washington,40
Pennsylvania,30
South Carolina,30
North Carolina,30
Massachusetts,30
Missouri,30
Florida,20
Georgia,20
New York,20
Kentucky,<1
Minnesota,<1
Alaska,
New Hampshire,
New Mexico,
Nebraska,
North Dakota,
Montana,
Oklahoma,
Mississippi,
Maine,
Rhode Island,
Maryland,
South Dakota,
Idaho,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Connecticut,
Arkansas,
West Virginia,
Wyoming,
