类别：所有类别

区域,squishmallows pokemon: (2023/4/18 - 2024/4/18)
Washington,100
Ohio,100
Missouri,100
Arizona,80
Kentucky,80
Oklahoma,80
Minnesota,80
Virginia,80
Pennsylvania,80
Michigan,60
Texas,60
North Carolina,60
Florida,60
Illinois,60
California,60
Maryland,60
Wisconsin,60
Massachusetts,60
New Jersey,40
New York,40
Colorado,40
Tennessee,40
Georgia,40
Indiana,<1
Alaska,
Wyoming,
Montana,
Maine,
North Dakota,
Nebraska,
New Hampshire,
Louisiana,
New Mexico,
Nevada,
Kansas,
Idaho,
Iowa,
Oregon,
Hawaii,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
District of Columbia,
Utah,
Connecticut,
Vermont,
Arkansas,
Alabama,
West Virginia,
Mississippi,
