类别：所有类别

区域,strawberry squishmallow: (2023/4/18 - 2024/4/18)
New Hampshire,100
Hawaii,80
Oregon,53
Indiana,53
Kentucky,46
Pennsylvania,46
Illinois,46
Michigan,46
Connecticut,46
Washington,46
California,40
Maryland,40
Ohio,40
Minnesota,40
Alabama,40
Texas,40
Massachusetts,40
Nevada,33
North Carolina,33
Missouri,33
Colorado,33
Tennessee,33
Arizona,33
Virginia,33
New York,26
Georgia,26
Florida,26
New Jersey,26
South Carolina,26
Wisconsin,20
Idaho,<1
Oklahoma,<1
Utah,<1
Alaska,
New Mexico,
Nebraska,
North Dakota,
Montana,
Mississippi,
Rhode Island,
Maine,
South Dakota,
Louisiana,
Kansas,
Iowa,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
