类别：所有类别

区域,unicorn squishmallow: (2023/4/18 - 2024/4/18)
Wisconsin,100
Utah,100
Connecticut,100
Mississippi,87
Oregon,87
Missouri,87
Michigan,87
New Jersey,87
Iowa,87
North Carolina,75
Ohio,75
Minnesota,75
Pennsylvania,75
Kentucky,75
Indiana,75
Illinois,75
Washington,75
Massachusetts,62
Virginia,62
Georgia,62
Texas,62
Maryland,62
South Carolina,62
California,50
Tennessee,50
Alabama,50
Arizona,50
Colorado,50
Florida,50
New York,37
Arkansas,<1
Alaska,
New Mexico,
Nevada,
New Hampshire,
Nebraska,
Oklahoma,
North Dakota,
Montana,
Rhode Island,
Maine,
South Dakota,
Louisiana,
Kansas,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
