类别：所有类别

区域,walgreens squishmallow: (2023/4/18 - 2024/4/18)
Delaware,100
New Mexico,73
Nebraska,60
Missouri,53
Illinois,46
Wisconsin,46
Iowa,46
Minnesota,40
Nevada,40
Kentucky,40
Michigan,33
Ohio,33
Washington,33
Connecticut,33
Tennessee,33
Indiana,33
Arizona,33
New Jersey,26
Florida,26
Massachusetts,26
California,20
Virginia,20
Texas,20
Georgia,20
North Carolina,20
New York,20
Pennsylvania,20
Colorado,13
Maryland,13
Alaska,
New Hampshire,
North Dakota,
Montana,
Mississippi,
Maine,
Louisiana,
Oklahoma,
Oregon,
Kansas,
Rhode Island,
South Carolina,
South Dakota,
Idaho,
Hawaii,
Utah,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
