,title,brand,descript,url,time
0,Redefining Privacy And Loyalty In Today's Digital Age,Forbes,"Data, privacy and how personal information is collected and used is constantly shifting as technology, computational power and societal expectations evolve...7 months ago",https://www.forbes.com/sites/garydrenik/2023/08/25/redefining-privacy-and-loyalty-in-todays-digital-age/,7 months ago
1,Retailers' loyalty programs under threat from new privacy laws,AFR,The government has agreed in-principle that consumers should have an “unqualified” right to opt out of having their personal information used for direct...5 months ago,https://www.afr.com/companies/retail/rewards-schemes-race-to-beat-new-privacy-laws-20231011-p5eb9o,5 months ago
2,CNIL Publishes 2024 Investigation Focus Plan,Privacy & Information Security Law Blog,"On February 8, 2024, the French Data Protection Authority announced the priority topics for its inspections in 2024. This blog entry provides a summary of...2 months ago",https://www.huntonprivacyblog.com/2024/02/09/cnil-publishes-2024-investigation-focus-plan/,2 months ago
3,"Colorado Privacy Act Rules Finalized Ahead of July 1, 2023 Effective Date",White & Case LLP,"The Colorado Attorney General's Office recently finalized rules for the Colorado Privacy Act (""CPA Rules"") which was signed into law in July 2021.11 months ago",https://www.whitecase.com/insight-alert/colorado-privacy-act-rules-finalized-ahead-july-1-2023-effective-date,11 months ago
4,New Jersey Privacy Law | Cozen O'Connor - JDSupra,JD Supra,"On January 16, Governor Murphy signed legislation requiring legal entities who collect consumer information to make certain disclosure to consumers.2 months ago",https://www.jdsupra.com/legalnews/new-jersey-privacy-law-8326348/,2 months ago
5,Guarding Trust: Unveiling Data Privacy's Hidden Gems,CMSWire.com,"Discover the crucial interplay between data privacy, trust and brand loyalty — and learn why being open about data usage is essential.8 months ago",https://www.cmswire.com/digital-experience/the-role-of-data-privacy-in-customer-trust-and-brand-loyalty/,8 months ago
6,Can Web3 and NFTs save your customer loyalty program?,CX Today,"In the fast-changing world of marketing, loyal customers are the holy grail of any thriving business. As such, nearly all B2C companies have developed their...3 months ago",https://www.cxtoday.com/data-analytics/can-web3-and-nfts-save-your-customer-loyalty-program/,3 months ago
7,Annual Marigold Global Consumer Trends Index Reveals Brands Must Prioritize Privacy for Customer Loyalty,AiThority,"Marigold, a global martech leader focused on delivering relationship marketing solutions that help brands, announced the release of the 2024 Marigold Global...2 months ago",https://aithority.com/technology/annual-marigold-global-consumer-trends-index-reveals-brands-must-prioritize-privacy-for-customer-loyalty/,2 months ago
8,Colorado Privacy Act Regulations Finalized,Akin Gump Strauss Hauer & Feld LLP,"On March 15, 2023, the Colorado Attorney General (AG) finalized its set of regulations implementing the Colorado Privacy Act (CPA) – the Colorado Privacy...11 months ago",https://www.akingump.com/en/insights/blogs/ag-data-dive/colorado-privacy-act-regulations-finalized,11 months ago
9,"Consumers Value Service, Experiences, and Perks, Findings Detailed in Merkle's 2024 Loyalty Barometer Report",PR Newswire,"Merkle research highlights ways marketers can strengthen loyalty through improved customer experience. COLUMBIA, Md., Feb. 14, 2024 /PRNewswire/ -- Merkle,...1 month ago",https://www.prnewswire.com/news-releases/consumers-value-service-experiences-and-perks-findings-detailed-in-merkles-2024-loyalty-barometer-report-302061512.html,1 month ago
0,U.S. Consumers Show Higher Brand Loyalty Than Global Average But Demand More In Return,Adweek,"Maridold's Annual Consumer Trends Index Report Highlights Many Ways Brands Must Develop Loyalty Among Customers. By Marigold. February 26, 2024.1 month ago",https://www.adweek.com/adweek-wire/u-s-consumers-show-higher-brand-loyalty-than-global-average-but-demand-more-in-return/,1 month ago
1,Marketing value and data: Doing more with less,MarTech,"As marketers, we walk a fine line between collecting customer data to deliver value and infringing on consumer privacy. Recent trends in privacy regulations...4 months ago",https://martech.org/marketing-value-and-data-doing-more-with-less/,4 months ago
2,Loyalty Live: TCS on Leveraging Customer Data Platforms in Support of Loyalty Program Efforts,Loyalty360,"As brand marketers seek to comprehensively understand and use the customer data they've collected, one of the first considerations centers on integrating a...3 weeks ago",https://loyalty360.org/content-gallery/daily-news/loyalty-live-tcs-on-leveraging-customer-data-platforms-in-support-of-loyalty-program-efforts,3 weeks ago
3,Zero-party data is the next frontier in consumer strategy,EY,Zero-party data helps businesses get the information they need to enhance the customer experience while respecting consumers' privacy rights. Read more.8 months ago,https://www.ey.com/en_us/consulting/zero-party-data-is-the-next-frontier-in-consumer-strategy,8 months ago
4,"Adapting Loyalty Programs: Navigating AI, Digital Personal Data Protection Bill 2023 & Section 194R",Express Computer,"By Abhinav Jain, Co-Founder & CEO, Almonds AI. You walk into your favorite coffee shop, and before you even place your order, the barista greets you with a...4 months ago",https://www.expresscomputer.in/guest-blogs/adapting-loyalty-programs-navigating-ai-digital-personal-data-protection-bill-2023-section-194r/106585/,4 months ago
5,Supermarket Loyalty Schemes Are Turning Privacy Into a Luxury,Novara Media,"“Clubcard prices” have replaced the offers that used to be available to everyone, and “Nectar prices” at Sainsbury's will soon follow – making a data-harvesting...11 months ago",https://novaramedia.com/2023/04/25/supermarket-loyalty-schemes-are-turning-privacy-into-a-luxury/,11 months ago
6,Privacy and Cookie Policy - Official EA Site,Electronic Arts Home Page,"Your privacy is important to EA and we take our responsibility of caring for it seriously. This policy describes how Electronic Arts Inc. (""EA""),...5 months ago",https://www.ea.com/legal/privacy-and-cookie-policy,5 months ago
7,6 Loyalty Program Trends to Watch [on-demand webinar],Oracle Blogs,Loyalty programs are currently experiencing nothing short of a renaissance. Here are the six biggest trends we're seeing with our Oracle CrowdTwist...11 months ago,https://blogs.oracle.com/marketingcloud/post/loyalty-program-trends-to-watch,11 months ago
8,Mobile Helps Brand Loyalty Programs Work Harder and Smarter,PYMNTS.com,"Technology, and the digital transformation of the economy overall, have reshaped the concept of customer loyalty. Add to that the integration of payments.3 months ago",https://www.pymnts.com/news/loyalty-and-rewards-news/2023/mobile-helps-brand-loyalty-programs-work-harder-and-smarter/,3 months ago
9,Tennessee Information Protection Act: What Businesses Need to Know,Akin Gump Strauss Hauer & Feld LLP,"On May 11, 2023, Tennessee joined the rapidly growing ranks of U.S. states to enact a comprehensive data privacy law as Gov. Bill Lee (R-TN) signed the...8 months ago",https://www.akingump.com/en/insights/blogs/ag-data-dive/tennessee-information-protection-act-what-businesses-need-to-know,8 months ago
0,How Digital Technology is Transforming Loyalty in Retail | Amazon Web Services,Amazon Web Services,"Loyalty /ˈloi(-ə)l-tē/, noun: the quality of being loyal; a strong feeling of support or allegiance. Loyalty programs have been around for hundreds of years...2 months ago",https://aws.amazon.com/blogs/industries/how-digital-technology-is-transforming-loyalty-in-retail/,2 months ago
1,Turning mobile game players into loyal brand customers,Fast Company,"Amid privacy data concerns and economic pressures for consumers and businesses alike, more brands are turning to rewards programs and loyalty apps to...2 months ago",https://www.fastcompany.com/91010586/turning-mobile-game-players-into-loyal-brand-customers,2 months ago
2,The Ways Grocery Shoppers' Personal Information Is Increasingly Being Shared,TheStreet,Shoppers at grocery stores such as Kroger (KR) often use loyalty cards for discounts offered by the supermarkets. But those cards aren't used by the...11 months ago,https://www.thestreet.com/retail/supermarket-discount-cards-give-companies-personal-data-shoppers-dont-realize,11 months ago
3,What is personalization? | McKinsey,McKinsey & Company,"In this McKinsey Explainer, we look at what personalization is and how organizations are using data to tailor messages to specific user preferences.10 months ago",https://www.mckinsey.com/featured-insights/mckinsey-explainers/what-is-personalization,10 months ago
4,The New York Times Company Privacy Policy,The New York Times,"Last Updated on March 5, 2024 At The New York Times Company, our mission is to seek the truth and help people understand the world. We...1 month ago",https://help.nytimes.com/hc/en-us/articles/10940941449492-The-New-York-Times-Company-Privacy-Policy,1 month ago
5,"State-passed online privacy laws are inadequate, advocate group warns",Chicago Sun-Times,"As Illinois seeks to pass its own online privacy law, it should avoid copying the inadequate laws passed in 14 states that were weakened by tech-industry...2 months ago",https://chicago.suntimes.com/2024/2/1/24057330/online-privacy-illinois-technology-business-security-legislation-springfield-lawmakers-legislature,2 months ago
6,Albertsons grocery chain announces Apple Watch rewards program,MobiHealthNews,"Consumers can earn rewards points, grocery coupons and discounts for closing their activity rings on their Apple Watch or iPhone.11 months ago",https://www.mobihealthnews.com/news/albertsons-grocery-chain-announces-apple-watch-rewards-program,11 months ago
7,"When it comes to loyalty consumers all about experience, service, perks",Retail Customer Experience,"While a great product is the top reason consumers love a brand, customer service, loyalty programs and experience still have the top impact on whether a...1 month ago",https://www.retailcustomerexperience.com/news/when-it-comes-to-loyalty-consumers-all-about-experience-service-perks/,1 month ago
8,What U.S. Retailers Can Learn From China's Rewards Programs,Morning Consult Pro,Retail and e-commerce analyst Claire Tassin unpacks how American retailers can improve their loyalty programs by taking cues from their Chinese counterparts.6 months ago,https://pro.morningconsult.com/analysis/american-vs-chinese-rewards-programs-survey-data,6 months ago
9,Domino's loyalty program revamp boosts results; to lift prices modestly,Yahoo Finance,(Reuters) -Domino's Pizza beat Wall Street targets for quarterly results as a relaunch of its loyalty program and promotional offers prompted more Americans...1 month ago,https://finance.yahoo.com/news/dominos-pizza-beats-quarterly-sales-111027518.html,1 month ago
0,How Protected Is Your Privacy? Everything You Need to Know,DataDrivenInvestor,"Explore the startling revelations from the newly released 'The State of Privacy' report! Recently enacted state privacy laws promise to protect your data,...2 months ago",https://medium.datadriveninvestor.com/how-protected-is-your-privacy-everything-you-need-to-know-8fd0916a9678,2 months ago
1,Kroger Sued for Sharing Sensitive Health Data With Meta – The Markup,The Markup,"Two proposed federal class action lawsuits, filed in the wake of a Markup investigation, accuse the grocer of disclosing private data through its online...4 months ago",https://themarkup.org/privacy/2023/11/27/kroger-sued-for-sharing-sensitive-health-data-with-meta,4 months ago
2,6 Things to Know About Washington's My Health My Data Law,Orrick,"The state of Washington recently enacted My Health My Data (“MHMD”), a game-changing new consumer privacy law focused on health data.11 months ago",https://www.orrick.com/en/Insights/2023/05/6-Things-to-Know-About-Washingtons-My-Health-My-Data-Law,11 months ago
3,Data privacy quiz: What Woolworths and other stores know about you,SBS Australia,"Bargain-hungry shoppers are being warned about the risks of providing businesses with personal information including their name, mobile and email addresses.2 weeks ago",https://www.sbs.com.au/news/article/signing-up-for-loyalty-programs-could-be-backfiring-on-you-take-our-quiz-to-find-out-why/92nzaxo5g,2 weeks ago
4,MA Sports Betting Ops Granted Extension For Data Privacy Plans,Legal Sports Report,Massachusetts sports betting operators have been granted a data privacy extension by the state's gaming commission for MA sports betting.7 months ago,https://www.legalsportsreport.com/132278/ma-sports-betting-board-grants-extension-for-data-privacy-plans/,7 months ago
5,Managing generative AI risks,PwC,"What security, privacy, internal audit, legal, finance and compliance leaders need to know to harness trusted generative artificial intelligence.10 months ago",https://www.pwc.com/us/en/tech-effect/ai-analytics/managing-generative-ai-risks.html,10 months ago
6,"New York Attorney General Proposes Crypto Regulation, Protection, Transparency, and Oversight (CRPTO) Act",Privacy & Information Security Law Blog,"On May 5, 2023, New York Attorney General Letitia James released proposed legislation that seeks to regulate all facets of the cryptocurrency industry.10 months ago",https://www.huntonprivacyblog.com/2023/05/12/new-york-attorney-general-proposes-crypto-regulation-protection-transparency-and-oversight-crpto-act/,10 months ago
7,Why Afterpay is rewarding customers for on-time payments,Modern Retail,Afterpay is doling out brand-specific rewards for customers who pay on time via a new partnership with Nift.5 months ago,https://www.modernretail.co/technology/why-bnpl-platform-afterpay-is-rewarding-customers-for-on-time-payments/,5 months ago
8,DoorDash to pay fine for selling Californians' customer data,Supermarket News,"Last-mile delivery company DoorDash has agreed to pay the state of California $375,000 to settle a case brought by California's attorney general for...1 month ago",https://www.supermarketnews.com/technology/doordash-pay-fine-selling-californians-customer-data,1 month ago
9,How supermarkets turned loyalty cards into a data treasure trove,RTE.ie,"Loyalty cards were once a way to reward repeat customers, but the data they produce is now a lucrative revenue source for supermarkets.6 months ago",https://www.rte.ie/brainstorm/2023/0925/1407120-supermarket-loyalty-cards-customers-data-behaviour-marketing-advertising/,6 months ago
0,The 5 Best Web Browsers That Reward You for Using Them,MakeUseOf,"The idea of having a source of passive income is very appealing, especially if all you have to do is surf the web. Well, there are web browsers out there...5 months ago",https://www.makeuseof.com/best-web-browsers-that-reward-you-for-using-them/,5 months ago
1,Shopify Editions | Winter '24,Shopify,We've increased the maximum number of products you can offer in a bundle from 10 to 30. Merchants who use Shopify Scripts can now also use Shopify's bundle...2 months ago,https://www.shopify.com/editions/winter2024,2 months ago
2,"Patients at healthcare chain must use rewards program to access bulk-billing, Choice finds",The Guardian,Consumer organisation warns of vague data policies and says patients should not have to choose between privacy or treatment.7 months ago,https://www.theguardian.com/australia-news/2023/aug/15/patients-at-healthcare-chain-must-use-rewards-program-to-access-bulk-billing-choice-finds,7 months ago
3,newsGP - Rewards program tied to bulk billing triggers patient data concern,Royal Australian College of General Practitioners (RACGP),"Michelle Wisbey. 15/08/2023 7:45:00 PM. A major medical chain is asking patients to choose between subsidised healthcare and privacy, a Choice investigation...7 months ago",https://www1.racgp.org.au/newsgp/professional/rewards-program-tied-to-bulk-billing-triggers-pati,7 months ago
4,What do supermarkets REALLY do with your loyalty card data?,This is Money,"Loyalty card schemes can give retailers an important insight into the habits of consumers by tracking their purchases, which can help bring customers more...9 months ago",https://www.thisismoney.co.uk/money/bills/article-12190197/Supermarket-loyalty-cards-big-discounts-expense-privacy.html,9 months ago
5,Consumer NZ warns of pitfalls of supermarket loyalty schemes,RNZ,A consumer watchdog is warning that deals offered by supermarket loyalty schemes are not as cost-saving as they appear.2 months ago,https://www.rnz.co.nz/news/business/508093/consumer-nz-warns-of-pitfalls-of-supermarket-loyalty-schemes,2 months ago
6,"'Unauthorized party' obtained Petro-Points members' contact information in IT breach, company says",CBC,"An unauthorized party obtained Petro-Points members' basic contact information in a cybersecurity incident that happened roughly two weeks ago, the company...9 months ago",https://www.cbc.ca/news/canada/calgary/petro-points-suncor-it-breach-1.6899274,9 months ago
